X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
915;591;0.476833;0.5480581;0.5019217;0.6092872;831.0;0.204775;False;12/21/2025 10:50:25 PM:343;1766332225343;;
912;602;0.4755171;0.5580537;0.4581186;0.6693311;831.7;0.2054833;False;12/21/2025 10:50:25 PM:381;1766332225381;;
911;611;0.4747711;0.5657919;0.4604661;0.672814;832.3;0.2054797;False;12/21/2025 10:50:25 PM:417;1766332225417;;
895;613;0.466524;0.5678902;0.4459162;0.6210335;821.8;0.1882063;False;12/21/2025 10:50:27 PM:851;1766332227851;;
895;614;0.4664831;0.5687689;0.465605;0.6051438;812.3;0.1883999;False;12/21/2025 10:50:27 PM:894;1766332227894;;
911;317;0.474598;0.2936657;0.491173;0.1955456;806.4;0.2204361;False;12/21/2025 10:50:32 PM:716;1766332232716;;
911;314;0.4745015;0.2909952;0.4725701;0.2551709;801.2;0.217072;False;12/21/2025 10:50:32 PM:766;1766332232766;;
892;397;0.4651033;0.36765;0.4382993;0.4486253;800.2;0.1980387;False;12/21/2025 10:50:33 PM:14;1766332233014;;
897;362;0.4676991;0.3357346;0.4970756;0.186266;799.3;0.201331;False;12/21/2025 10:50:33 PM:50;1766332233050;;
897;384;0.4673618;0.3563117;0.453452;0.4705589;791.9;0.1901132;False;12/21/2025 10:50:33 PM:86;1766332233086;;
897;401;0.4673106;0.3720005;0.4593338;0.4766579;785.3;0.1903713;False;12/21/2025 10:50:33 PM:121;1766332233121;;
897;436;0.4672934;0.4044443;0.4637448;0.5516574;783.5;0.1878317;False;12/21/2025 10:50:33 PM:157;1766332233157;;
897;477;0.4672779;0.4423299;0.4651703;0.5981043;776.9;0.1974626;False;12/21/2025 10:50:33 PM:194;1766332233194;;
897;502;0.4672854;0.4652352;0.4679396;0.5939413;771.0;0.1972003;False;12/21/2025 10:50:33 PM:228;1766332233228;;
897;467;0.4675084;0.4327212;0.4754098;0.2943216;767.0;0.1930749;False;12/21/2025 10:50:33 PM:266;1766332233266;;
897;445;0.4676693;0.4123302;0.4754035;0.2944176;763.4;0.1930612;False;12/21/2025 10:50:33 PM:302;1766332233302;;
897;434;0.4676693;0.4022631;0.4676943;0.3166266;772.1;0.2098459;False;12/21/2025 10:50:33 PM:337;1766332233337;;
897;424;0.4676693;0.3934418;0.4676816;0.3168269;779.9;0.2097717;False;12/21/2025 10:50:33 PM:383;1766332233383;;
906;480;0.4719177;0.4449225;0.5060411;0.5823848;784.9;0.2020411;False;12/21/2025 10:50:33 PM:441;1766332233441;;
906;382;0.4723232;0.3545896;0.4746834;0.2774939;787.7;0.1865274;False;12/21/2025 10:50:54 PM:611;1766332254611;;
905;418;0.4718738;0.3877782;0.4650273;0.441962;782.0;0.1936057;False;12/21/2025 10:50:54 PM:807;1766332254807;;
859;388;0.4478454;0.3596897;0.3981627;0.2783917;772.3;0.2565807;False;12/21/2025 10:50:55 PM:11;1766332255011;;
